Title for website and text service	Onward link (non-referral)	Description for website and text service	Support type	Min age	Max age	National?	Free?	Service type	Risk type	Support Finder & Text Bot Rank	List of Services Rank	Tent Service?	Tent Service Redirect	Text Bot Referral Description	Text Bot Referral Start word	Text Referral Available?	Content status	Checked?
Get face to face, online or telephone counselling from TiC+ (free)	https://www.ticplus.org.uk/counselling/	TiC+ knows that no matter what you might be going through, it helps to talk about it. Their counsellors are trained to listen without judging, and help you get things back on track. TiC+ will talk to you to find an appointment time that works for you. For ages 9 to 21.   Call TiC+ on 01594 372 777	counselling	9	21	local	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	97	99	TRUE	tic-plus	Get support from TiC+ (free)  You can refer yourself to TiC+, who offer counselling. Their counsellors are trained to listen without judging, and help you get things back on track. For ages 9 to 21.  You can refer yourself to TiC+ online. You will have to get in touch with them first.  https://www.ticplus.org.uk/orf/  You can do this now or after you've seen the other options.		FALSE		Y
Get support from Young Minds Matter (free)	https://www.ghc.nhs.uk/mhst-support/	Young Minds Matter offers Cognitive Behavioural Therapy (CBT) through some schools. You'll need to check whether your school is included before you fill in the form to request support. A teacher or someone working at your school should be able to help.	cbt	5	19	local	free	generic	lowMediumRisk	98	97	TRUE	young-minds-matter	Get support from Young Minds Matter (free)  Young Minds Matter offers Cognitive Behavioural Therapy (CBT) through some schools. You'll need to check whether your school is included before you fill in the form to request support. A teacher or someone working at your school should be able to help.  To refer yourself by text, reply with YMM  You can do this now or after you've seen the other options.	YMM	FALSE		Y
Get support from NHS Children and Adolescent Mental Health Services (CAMHS) (free)	https://www.ghc.nhs.uk/our-teams-and-services/cyp-glos/	You can refer yourself to CAMHS Gloucestershire, who offer specialist NHS support if you're having moderate to severe mental health difficulties. For ages 18 and under. 	helpline, counselling, meetOthersGoingThroughSomethingSimilar, cbt, onlineToolkits, specialistSupport, coursesAndWorkshops, dropIn, youthWork, socialPrescribing	0	18	local, localGP	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	highRisk, isolated, previousHelpUnsuccessful, inCare, pregnant, trauma, doesntKnowWhatStrugglingWith	99	96	TRUE	camhs	Speak to Child and Adolescent Mental Health Services (CAMHS) (free)  You can refer yourself to CAMHS Gloucestershire, who offer specialist NHS support if you're having moderate to severe mental health difficulties. For ages 18 and under.  Your regular doctor (your GP) must be in Gloucestershire for you to use CAMHS. That means their postcode must start with GL.  To refer yourself by text, reply with {x}   You can do this now or after you've seen the other options.	CAMHS	TRUE		Y
Get support from Young Gloucestershire (YG) (free)	https://www.youngglos.org.uk/young-people/mental-health	YG offers counselling, CBT and practical support for a range of issues. Whether you're struggling with your mental health, self-harm, leaving care or you need practical help, YG can support you.   You can call YG on 01452 501 008	cbt, counselling, youthWork	14	25	local, localGP	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma, inCare, selfHarm	isolated, previousHelpUnsuccessful, lowMediumRisk, inCare	96	100	TRUE	young-glos	Get support from Young Gloucestershire (YG)  YG offers counselling, CBT and practical support for a range of issues. Whether you're struggling with your mental health, self-harm, leaving care or you need practical help, YG can support you.   To refer yourself by text, reply with {x}   You can do this now or after you've seen the other options.	YG	TRUE		Y
Talk to a Childline counsellor online or by phone (free)	https://www.childline.org.uk/get-support/1-2-1-counsellor-chat/	Chat with a counsellor about what's worrying you. It's confidential, and no problem is too big or too small. For ages 18 and under.  Call Childline on 0800 1111  - Monday to Friday, 7.30pm to 3.30am - Saturday to Sunday, 9am to 3.30am	helpline	0	18	national	free	generic	lowMediumRisk	50	10	FALSE				FALSE		Y
Get one-to-one and group support for young carers (free)	http://www.glosyoungcarers.org.uk/what_we_do/how-to-refer-to-us/	Gloucestershire Young Carers helps young people whose caring role is affecting their mental wellbeing. For ages 8 to 24.  You can refer yourself if you're over 18.   If you're under 18, you'll need permission from a parent or carer.	counselling, meetOthersGoingThroughSomethingSimilar	8	24	local, localGP	free	carers	lowMediumRisk	50		FALSE				FALSE		Y
Get one-to-one emotional support from Gloucestershire Rape and Sexual Abuse Centre (GRASAC) (free)	https://www.glosrasac.org/accessing-support/#support	Have up to 24 sessions with a specialist support worker who'll listen and support you. For women and girls ages 13 and over, and men ages 18 and over.  Refer yourself online or call 01452 305 421	counselling	13	100	local, localGP	free	sexualAbuseOrAssault	lowMediumRisk	50		FALSE				FALSE		Y
Call the 24/7 National Domestic Abuse Helpline (free)	https://www.nationaldahelpline.org.uk/	Phone or chat online with a trained adviser from the all-female team. They won't judge you, they'll help you understand your options and decide what to do. It's completely confidential.   Call the National Domestic Abuse Helpline on 0808 200 247	helpline	0	100	national	free	domesticAbuseOrEmotionalAbuse	lowMediumRisk	50		FALSE				FALSE		Y
Get anonymous phone and email support from Gloucestershire Rape and Sexual Abuse Centre (GRASAC) (free)	https://www.glosrasac.org/accessing-support/#support	For women and girls who've experienced sexual violence.  Speak anonymously with a trained adviser by calling 01452 526 770 on:  - Mondays from 12pm to 2pm - Tuesdays and Wednesdays from 6.30pm to 8.30pm.	helpline	0	100	local, localGP	free	sexualAbuseOrAssault	lowMediumRisk	50		FALSE				FALSE		Y
Talk to Anxiety UK by email, text, online chat or phone (free)	https://www.anxietyuk.org.uk/get-help/helpline-email-text-live-chat-services/	Get support, advice and information on coping with anxiety and stress.  Call the Anxiety UK helpline on 03444 775 774 from Monday to Friday, 9.30am to 5.30pm.	helpline	0	100	national	free	feelingWorriedAndAnxious	lowMediumRisk	50		FALSE				FALSE		Y
